"HW-CRSDB","Virtual Server in Hunter_VM_Backups","VMware","Old_CRS_Environment","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","0.289","0.024","Hunter Warfield; Hunter_VM_Backups"
"hw-crsdb02","SQL Server","HW-CRSDB02","DB02_FullRecovery","Premium2_WH","Premium2_S3_hwi-dpaas","hwi-dpaas","35 day(s);1 Cycle(s)","131.674","85.016","dsm-wh-vca01; Hunter Warfield"
"hw-crsdb02","SQL Server","HW-CRSDB02","DB02_FullRecovery","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","121.141","9.934","dsm-wh-vca01; Hunter Warfield"
"hw-crsdb02","SQL Server","HW-CRSDB02","DB02_FullRecovery","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","10.533","2.270","dsm-wh-vca01; Hunter Warfield"
"hw-crsdb02","SQL Server","HW-CRSDB02","DB02_FullRecovery","Premium2_WH_TLOGS","Premium2_S3_TLOGS_hwi-dpaas","hwi-dpaas","8 day(s);1 Cycle(s)","0.632","0.408","dsm-wh-vca01; Hunter Warfield"
"hw-crsdb02","SQL Server","HW-CRSDB02","DB02_FullRecovery","Premium2_WH_TLOGS","Primary","DSM_WH_DiskLibrary","8 day(s);1 Cycle(s)","0.471","0.110","dsm-wh-vca01; Hunter Warfield"
"hw-crsdb02","SQL Server","HW-CRSDB02","DB02_FullRecovery","Premium2_WH_TLOGS","Primary-SO","DiskLib_CVSDS-Pool01","8 day(s);1 Cycle(s)","0.083","0.018","dsm-wh-vca01; Hunter Warfield"
"hw-crsdb02","SQL Server","HW-CRSDB02","default","Premium2_WH","Premium2_S3_hwi-dpaas","hwi-dpaas","35 day(s);1 Cycle(s)","1.018","0.657","dsm-wh-vca01; Hunter Warfield"
"hw-crsdb02","SQL Server","HW-CRSDB02","default","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","0.941","0.077","dsm-wh-vca01; Hunter Warfield"
"hw-crsdb02","SQL Server","HW-CRSDB02","default","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","0.077","0.017","dsm-wh-vca01; Hunter Warfield"
"hw-crsdb02","SQL Server","HW-CRSDB02","default","Premium2_WH_TLOGS","Premium2_S3_TLOGS_hwi-dpaas","hwi-dpaas","8 day(s);1 Cycle(s)","0.000","0.000","dsm-wh-vca01; Hunter Warfield"
"hw-crsdb02","SQL Server","HW-CRSDB02","default","Premium2_WH_TLOGS","Primary","DSM_WH_DiskLibrary","8 day(s);1 Cycle(s)","0.000","0.000","dsm-wh-vca01; Hunter Warfield"
"hw-crsdb02","SQL Server","HW-CRSDB02","default","Premium2_WH_TLOGS","Primary-SO","DiskLib_CVSDS-Pool01","8 day(s);1 Cycle(s)","0.000","0.000","dsm-wh-vca01; Hunter Warfield"
"hw-crsdb02","Windows File System","DefaultInstanceName","default","Premium2_WH","Premium2_S3_hwi-dpaas","hwi-dpaas","35 day(s);1 Cycle(s)","33.612","21.702","dsm-wh-vca01; Hunter Warfield"
"hw-crsdb02","Windows File System","DefaultInstanceName","default","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","31.426","2.577","dsm-wh-vca01; Hunter Warfield"
"hw-crsdb02","Windows File System","DefaultInstanceName","default","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","2.187","0.471","dsm-wh-vca01; Hunter Warfield"
"hw-crsdevdb","SQL Server","HW-CRSDEVDB","default","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","21.582","4.651","Hunter Warfield; Hunter_VM_Backups"
"hw-crsdevdb","SQL Server","HW-CRSDEVDB","default","Economy2_WH_TLOGS","Primary-SO","DiskLib_CVSDS-Pool01","2 day(s);1 Cycle(s)","0.000","0.000","Hunter Warfield; Hunter_VM_Backups"
"HW-CRSDEVDB_1","Virtual Server in hw-vcenter","VMware","DEVTEST_2AM_SUNsynthFULL","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","6.276","1.352","HW-Vcenter"
"hw-crsdevrpt","SQL Server","HW-CRSDEVRPT","default","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","2.782","0.600","Hunter Warfield; Hunter_VM_Backups"
"hw-crsdevrpt","SQL Server","HW-CRSDEVRPT","default","Economy2_WH_TLOGS","Primary-SO","DiskLib_CVSDS-Pool01","2 day(s);1 Cycle(s)","0.000","0.000","Hunter Warfield; Hunter_VM_Backups"
"HW-CRSDEVRPT_1","Virtual Server in hw-vcenter","VMware","DEVTEST_2AM_SUNsynthFULL","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","0.785","0.169","HW-Vcenter"
"HW-CRSRPT","Virtual Server in Hunter_VM_Backups","VMware","Old_CRS_Environment","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","0.258","0.021","Hunter Warfield; Hunter_VM_Backups"
"hw-crsrpt02","SQL Server","HW-CRSRPT02","default","Premium2_WH","Premium2_S3_hwi-dpaas","hwi-dpaas","35 day(s);1 Cycle(s)","16.327","10.542","dsm-wh-vca01; Hunter Warfield"
"hw-crsrpt02","SQL Server","HW-CRSRPT02","default","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","15.301","1.255","dsm-wh-vca01; Hunter Warfield"
"hw-crsrpt02","SQL Server","HW-CRSRPT02","default","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","1.026","0.221","dsm-wh-vca01; Hunter Warfield"
"hw-crsrpt02","SQL Server","HW-CRSRPT02","default","Premium2_WH_TLOGS","Premium2_S3_TLOGS_hwi-dpaas","hwi-dpaas","8 day(s);1 Cycle(s)","0.042","0.027","dsm-wh-vca01; Hunter Warfield"
"hw-crsrpt02","SQL Server","HW-CRSRPT02","default","Premium2_WH_TLOGS","Primary","DSM_WH_DiskLibrary","8 day(s);1 Cycle(s)","0.026","0.006","dsm-wh-vca01; Hunter Warfield"
"hw-crsrpt02","SQL Server","HW-CRSRPT02","default","Premium2_WH_TLOGS","Primary-SO","DiskLib_CVSDS-Pool01","8 day(s);1 Cycle(s)","0.010","0.002","dsm-wh-vca01; Hunter Warfield"
"hw-crsrpt02","SQL Server","HW-CRSRPT02","RPT02_FullRecovery","Premium2_WH","Premium2_S3_hwi-dpaas","hwi-dpaas","35 day(s);1 Cycle(s)","15.112","9.757","dsm-wh-vca01; Hunter Warfield"
"hw-crsrpt02","SQL Server","HW-CRSRPT02","RPT02_FullRecovery","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","13.885","1.139","dsm-wh-vca01; Hunter Warfield"
"hw-crsrpt02","SQL Server","HW-CRSRPT02","RPT02_FullRecovery","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","1.227","0.264","dsm-wh-vca01; Hunter Warfield"
"hw-crsrpt02","SQL Server","HW-CRSRPT02","RPT02_FullRecovery","Premium2_WH_TLOGS","Premium2_S3_TLOGS_hwi-dpaas","hwi-dpaas","8 day(s);1 Cycle(s)","1.508","0.973","dsm-wh-vca01; Hunter Warfield"
"hw-crsrpt02","SQL Server","HW-CRSRPT02","RPT02_FullRecovery","Premium2_WH_TLOGS","Primary","DSM_WH_DiskLibrary","8 day(s);1 Cycle(s)","1.134","0.274","dsm-wh-vca01; Hunter Warfield"
"hw-crsrpt02","SQL Server","HW-CRSRPT02","RPT02_FullRecovery","Premium2_WH_TLOGS","Primary-SO","DiskLib_CVSDS-Pool01","8 day(s);1 Cycle(s)","0.319","0.069","dsm-wh-vca01; Hunter Warfield"
"hw-crsrpt02","Windows File System","DefaultInstanceName","default","Premium2_WH","Premium2_S3_hwi-dpaas","hwi-dpaas","35 day(s);1 Cycle(s)","7.732","4.992","dsm-wh-vca01; Hunter Warfield"
"hw-crsrpt02","Windows File System","DefaultInstanceName","default","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","6.313","0.518","dsm-wh-vca01; Hunter Warfield"
"hw-crsrpt02","Windows File System","DefaultInstanceName","default","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","1.463","0.315","dsm-wh-vca01; Hunter Warfield"
"HW-CRSTESTAPP02","Virtual Server in hw-vcenter","VMware","DEVTEST_2AM_SUNsynthFULL","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","0.383","0.082","HW-Vcenter"
"hw-crstestdb02","SQL Server","HW-CRSTESTDB02","CRS5_OLTP","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","22.183","4.780","Hunter Warfield; Hunter_VM_Backups"
"hw-crstestdb02","SQL Server","HW-CRSTESTDB02","default","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","10.651","2.295","Hunter Warfield; Hunter_VM_Backups"
"hw-crstestdb02","SQL Server","HW-CRSTESTDB02","default","Economy2_WH_TLOGS","Primary","DSM_WH_DiskLibrary","2 day(s);1 Cycle(s)","0.000","0.000","Hunter Warfield; Hunter_VM_Backups"
"hw-crstestdb02","SQL Server","HW-CRSTESTDB02","default","Economy2_WH_TLOGS","Primary-SO","DiskLib_CVSDS-Pool01","2 day(s);1 Cycle(s)","0.000","0.000","Hunter Warfield; Hunter_VM_Backups"
"HW-CRSTESTDB02_1","Virtual Server in hw-vcenter","VMware","DEVTEST_2AM_SUNsynthFULL","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","20.266","4.367","HW-Vcenter"
"hw-crstestrpt02","SQL Server","HW-CRSTESTRPT02","default","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","4.091","0.882","Hunter Warfield; Hunter_VM_Backups"
"hw-crstestrpt02","SQL Server","HW-CRSTESTRPT02","default","Economy2_WH_TLOGS","Primary","DSM_WH_DiskLibrary","2 day(s);1 Cycle(s)","0.000","0.000","Hunter Warfield; Hunter_VM_Backups"
"hw-crstestrpt02","SQL Server","HW-CRSTESTRPT02","default","Economy2_WH_TLOGS","Primary-SO","DiskLib_CVSDS-Pool01","2 day(s);1 Cycle(s)","0.000","0.000","Hunter Warfield; Hunter_VM_Backups"
"HW-CRSTESTRPT02_1","Virtual Server in hw-vcenter","VMware","DEVTEST_2AM_SUNsynthFULL","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","11.429","2.463","HW-Vcenter"
"hw-dc01","Windows File System","DefaultInstanceName","default","Premium1_WH","Premium1_S3_hwi-dpaas","hwi-dpaas","35 day(s);1 Cycle(s)","0.090","0.058","Hunter Warfield; Hunter_VM_Backups"
"hw-dc01","Windows File System","DefaultInstanceName","default","Premium1_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","0.090","0.028","Hunter Warfield; Hunter_VM_Backups"
"hw-dc1","Active Directory","DefaultInstanceName","default","Premium1_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","0.000","0.000","dsm-wh-vca01; Hunter Warfield; Hunter_VM_Backups"
"hw-dc1","Windows File System","DefaultInstanceName","default","Premium1_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","0.036","0.012","dsm-wh-vca01; Hunter Warfield; Hunter_VM_Backups"
"HW-DHCP","Virtual Server in Hunter_VM_Backups","VMware","PROD_10PM_SATsynthFULL","Standard2_WH","Standard2_S3_hwi-dpaas","hwi-dpaas","14 day(s);1 Cycle(s)","0.022","0.014","Hunter_VM_Backups"
"HW-DIALERDB","Virtual Server in Hunter_VM_Backups","VMware","PROD_10PM_SUNsynthFULL","Premium2_WH","Premium2_S3_hwi-dpaas","hwi-dpaas","35 day(s);1 Cycle(s)","0.984","0.635","Hunter_VM_Backups"
"HW-DIALERDB","Virtual Server in Hunter_VM_Backups","VMware","PROD_10PM_SUNsynthFULL","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","0.846","0.069","Hunter_VM_Backups"
"HW-DIALERDB","Virtual Server in Hunter_VM_Backups","VMware","PROD_10PM_SUNsynthFULL","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","0.137","0.030","Hunter_VM_Backups"
"HW-DIRSYNC01.1_keep_off_","Virtual Server in Hunter_VM_Backups","VMware","PROD_11PM_SUNsynthFULL","HW_WH_8Day","Primary-SO","DiskLib_CVSDS-Pool01","8 day(s);3 Cycle(s)","0.088","0.019","Hunter_VM_Backups"
"HW-DOCUHPDM_1","Virtual Server in hw-vcenter","VMware","PROD_11PM_SUNsynthFULL","HW_WH_8Day","Primary-SO","DiskLib_CVSDS-Pool01","8 day(s);3 Cycle(s)","0.459","0.099","HW-Vcenter"
"HW-FS01","Virtual Server in hw-vcenter","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","10.879","0.892","HW-Vcenter"
"HW-FS01","Virtual Server in hw-vcenter","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","2.199","0.474","HW-Vcenter"
"hw-fs02","Virtual Server in hw-vcenter","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","2.449","0.201","Hunter Warfield; HW-Vcenter"
"hw-fs02","Virtual Server in hw-vcenter","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","0.478","0.103","Hunter Warfield; HW-Vcenter"
"hw-fs02","Windows File System","DefaultInstanceName","EDrive","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","1.826","0.150","Hunter Warfield; HW-Vcenter"
"hw-fs02","Windows File System","DefaultInstanceName","EDrive","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","0.366","0.079","Hunter Warfield; HW-Vcenter"
"hw-geronimo","SQL Server","GERONIMO","default","Premium1_WH","Premium1_S3_hwi-dpaas","hwi-dpaas","35 day(s);1 Cycle(s)","0.258","0.167","Hunter Warfield; Hunter_VM_Backups"
"hw-geronimo","SQL Server","GERONIMO","default","Premium1_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","0.223","0.071","Hunter Warfield; Hunter_VM_Backups"
"hw-geronimo","SQL Server","GERONIMO","default","Premium1_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","0.035","0.008","Hunter Warfield; Hunter_VM_Backups"
"hw-geronimo","SQL Server","GERONIMO","default","Premium1_WH_TLOGS","Premium1_S3_TLOGS_hwi-dpaas","hwi-dpaas","8 day(s);1 Cycle(s)","0.000","0.000","Hunter Warfield; Hunter_VM_Backups"
"hw-geronimo","SQL Server","GERONIMO","default","Premium1_WH_TLOGS","Primary","DSM_WH_DiskLibrary","8 day(s);1 Cycle(s)","0.000","0.000","Hunter Warfield; Hunter_VM_Backups"
"hw-geronimo","SQL Server","GERONIMO","default","Premium1_WH_TLOGS","Primary-SO","DiskLib_CVSDS-Pool01","8 day(s);1 Cycle(s)","0.000","0.000","Hunter Warfield; Hunter_VM_Backups"
"hw-geronimo","SQL Server","GERONIMO","GER_FullRecovery","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","4.086","0.335","Hunter Warfield; Hunter_VM_Backups"
"hw-geronimo","SQL Server","GERONIMO","GER_FullRecovery","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","0.641","0.138","Hunter Warfield; Hunter_VM_Backups"
"hw-geronimo","SQL Server","GERONIMO","GER_FullRecovery","Premium2_WH_TLOGS","Primary","DSM_WH_DiskLibrary","8 day(s);1 Cycle(s)","0.144","0.041","Hunter Warfield; Hunter_VM_Backups"
"hw-geronimo","SQL Server","GERONIMO","GER_FullRecovery","Premium2_WH_TLOGS","Primary-SO","DiskLib_CVSDS-Pool01","8 day(s);1 Cycle(s)","0.017","0.004","Hunter Warfield; Hunter_VM_Backups"
"HW-GIT_keep_off_","Virtual Server in Hunter_VM_Backups","VMware","PROD_11PM_SUNsynthFULL","HW_WH_8Day","Primary-SO","DiskLib_CVSDS-Pool01","8 day(s);3 Cycle(s)","0.042","0.009","Hunter_VM_Backups"
"HW-GUAT-CB01_keep_offline_","Virtual Server in Hunter_VM_Backups","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Premium2_S3_hwi-dpaas","hwi-dpaas","35 day(s);1 Cycle(s)","0.334","0.216","dsm-wh-vca01; Hunter_VM_Backups"
"HW-GUAT-CB01_keep_offline_","Virtual Server in Hunter_VM_Backups","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","0.279","0.023","dsm-wh-vca01; Hunter_VM_Backups"
"HW-GUAT-CB01_keep_offline_","Virtual Server in Hunter_VM_Backups","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","0.056","0.012","dsm-wh-vca01; Hunter_VM_Backups"
"HW-GUAT-GW01_keep_off_","Virtual Server in Hunter_VM_Backups","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Premium2_S3_hwi-dpaas","hwi-dpaas","35 day(s);1 Cycle(s)","0.141","0.091","dsm-wh-vca01; Hunter_VM_Backups"
"HW-GUAT-GW01_keep_off_","Virtual Server in Hunter_VM_Backups","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","0.118","0.010","dsm-wh-vca01; Hunter_VM_Backups"
"HW-GUAT-GW01_keep_off_","Virtual Server in Hunter_VM_Backups","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","0.047","0.010","dsm-wh-vca01; Hunter_VM_Backups"
"HW-GUAT-SH01_keep_offline_","Virtual Server in Hunter_VM_Backups","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Premium2_S3_hwi-dpaas","hwi-dpaas","35 day(s);1 Cycle(s)","0.888","0.573","dsm-wh-vca01; Hunter_VM_Backups"
"HW-GUAT-SH01_keep_offline_","Virtual Server in Hunter_VM_Backups","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","0.740","0.061","dsm-wh-vca01; Hunter_VM_Backups"
"HW-GUAT-SH01_keep_offline_","Virtual Server in Hunter_VM_Backups","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","0.148","0.032","dsm-wh-vca01; Hunter_VM_Backups"
"HW-GUAT-SH02_keep_offline_","Virtual Server in Hunter_VM_Backups","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Premium2_S3_hwi-dpaas","hwi-dpaas","35 day(s);1 Cycle(s)","0.978","0.631","dsm-wh-vca01; Hunter_VM_Backups"
"HW-GUAT-SH02_keep_offline_","Virtual Server in Hunter_VM_Backups","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","0.815","0.067","dsm-wh-vca01; Hunter_VM_Backups"
"HW-GUAT-SH02_keep_offline_","Virtual Server in Hunter_VM_Backups","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","0.326","0.070","dsm-wh-vca01; Hunter_VM_Backups"
"HWI-DSM-OM_keep_offline_","Virtual Server in dsm-wh-vca01","VMware","DSM_6AM_SUNsynthFULL","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","0.136","0.029","dsm-wh-vca01; DSM"
"hw-mail02","Exchange Database","defaultInstance","DB-HWDB3","Standard1_WH","Primary-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","1.004","0.216","Hunter Warfield; Hunter_VM_Backups"
"hw-mail02","Exchange Database","defaultInstance","DB-HWDC2_HWDDB4","Premium2_WH","Premium2_S3_hwi-dpaas","hwi-dpaas","35 day(s);1 Cycle(s)","9.924","6.407","Hunter Warfield; Hunter_VM_Backups"
"hw-mail02","Exchange Database","defaultInstance","DB-HWDC2_HWDDB4","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","8.263","0.678","Hunter Warfield; Hunter_VM_Backups"
"hw-mail02","Exchange Database","defaultInstance","DB-HWDC2_HWDDB4","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","1.661","0.358","Hunter Warfield; Hunter_VM_Backups"
"hw-mail02","Exchange Database","defaultInstance","default","Premium2_WH","Premium2_S3_hwi-dpaas","hwi-dpaas","35 day(s);1 Cycle(s)","10.033","6.478","Hunter Warfield; Hunter_VM_Backups"
"hw-mail02","Exchange Database","defaultInstance","default","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","9.426","0.773","Hunter Warfield; Hunter_VM_Backups"
"hw-mail02","Exchange Database","defaultInstance","default","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","0.608","0.131","Hunter Warfield; Hunter_VM_Backups"
"HW-MAIL02_1","Virtual Server in hw-vcenter","VMware","PROD_9PM_SATsynthFULL","Standard1_WH","Primary","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","22.619","7.193","HW-Vcenter"
"HW-MAIL02_1","Virtual Server in hw-vcenter","VMware","PROD_9PM_SATsynthFULL","Standard1_WH","Primary-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","17.364","3.742","HW-Vcenter"
"HW-Powerdialer_keep_off_","Virtual Server in Hunter_VM_Backups","VMware","PROD_11PM_SUNsynthFULL","HW_WH_8Day","Primary-SO","DiskLib_CVSDS-Pool01","8 day(s);3 Cycle(s)","0.837","0.180","Hunter_VM_Backups"
"hw-powervault2","Windows File System","DefaultInstanceName","EDrive","Premium2_WH","Premium2_S3_hwi-dpaas","hwi-dpaas","35 day(s);1 Cycle(s)","29.452","19.016","Hunter Warfield; Hunter_VM_Backups"
"hw-powervault2","Windows File System","DefaultInstanceName","EDrive","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","24.455","2.005","Hunter Warfield; Hunter_VM_Backups"
"hw-powervault2","Windows File System","DefaultInstanceName","EDrive","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","5.000","1.077","Hunter Warfield; Hunter_VM_Backups"
"hw-powervault2","Windows File System","DefaultInstanceName","GDrive","Premium2_WH","Premium2_S3_hwi-dpaas","hwi-dpaas","35 day(s);1 Cycle(s)","9.840","6.353","Hunter Warfield; Hunter_VM_Backups"
"hw-powervault2","Windows File System","DefaultInstanceName","GDrive","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","7.145","0.586","Hunter Warfield; Hunter_VM_Backups"
"hw-powervault2","Windows File System","DefaultInstanceName","GDrive","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","2.694","0.581","Hunter Warfield; Hunter_VM_Backups"
"hw-powervault2","Windows File System","DefaultInstanceName","IDrive_Images","Premium2_WH","Premium2_S3_hwi-dpaas","hwi-dpaas","35 day(s);1 Cycle(s)","16.889","10.904","Hunter Warfield; Hunter_VM_Backups"
"hw-powervault2","Windows File System","DefaultInstanceName","IDrive_Images","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","14.774","1.212","Hunter Warfield; Hunter_VM_Backups"
"hw-powervault2","Windows File System","DefaultInstanceName","IDrive_Images","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","2.119","0.457","Hunter Warfield; Hunter_VM_Backups"
"hw-powervault2","Windows File System","DefaultInstanceName","SmallDrives","Premium2_WH","Premium2_S3_hwi-dpaas","hwi-dpaas","35 day(s);1 Cycle(s)","0.848","0.548","Hunter Warfield; Hunter_VM_Backups"
"hw-powervault2","Windows File System","DefaultInstanceName","SmallDrives","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","0.707","0.058","Hunter Warfield; Hunter_VM_Backups"
"hw-powervault2","Windows File System","DefaultInstanceName","SmallDrives","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","0.141","0.030","Hunter Warfield; Hunter_VM_Backups"
"HW-PRTSVR","Virtual Server in hw-vcenter","VMware","PROD_9PM_SATsynthFULL","Standard1_WH","Primary","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","0.125","0.040","HW-Vcenter"
"HW-PRTSVR","Virtual Server in hw-vcenter","VMware","PROD_9PM_SATsynthFULL","Standard1_WH","Primary-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.147","0.032","HW-Vcenter"
"HW-RDS-CB01_1","Virtual Server in hw-vcenter","VMware","PROD_11PM_SUNsynthFULL","HW_WH_8Day","Primary-SO","DiskLib_CVSDS-Pool01","8 day(s);3 Cycle(s)","0.191","0.041","HW-Vcenter"
"HW-RDS-GW01_keep_offline_","Virtual Server in Hunter_VM_Backups","VMware","PROD_11PM_SUNsynthFULL","HW_WH_8Day","Primary-SO","DiskLib_CVSDS-Pool01","8 day(s);3 Cycle(s)","0.063","0.014","Hunter_VM_Backups"
"HW-RDS-SH02_1","Virtual Server in hw-vcenter","VMware","PROD_11PM_SUNsynthFULL","HW_WH_8Day","Primary-SO","DiskLib_CVSDS-Pool01","8 day(s);3 Cycle(s)","0.627","0.135","HW-Vcenter"
"HW-RDS-SH03_keep_off_","Virtual Server in Hunter_VM_Backups","VMware","PROD_11PM_SUNsynthFULL","HW_WH_8Day","Primary-SO","DiskLib_CVSDS-Pool01","8 day(s);3 Cycle(s)","0.661","0.143","Hunter_VM_Backups"
"HW-RDS-SH04_1","Virtual Server in hw-vcenter","VMware","PROD_11PM_SUNsynthFULL","HW_WH_8Day","Primary-SO","DiskLib_CVSDS-Pool01","8 day(s);3 Cycle(s)","1.019","0.220","HW-Vcenter"
"HW-RDS-SH05_keep_off_","Virtual Server in Hunter_VM_Backups","VMware","PROD_11PM_SUNsynthFULL","HW_WH_8Day","Primary-SO","DiskLib_CVSDS-Pool01","8 day(s);3 Cycle(s)","0.625","0.135","Hunter_VM_Backups"
"HW-RDS-SH06_1","Virtual Server in hw-vcenter","VMware","PROD_11PM_SUNsynthFULL","HW_WH_8Day","Primary-SO","DiskLib_CVSDS-Pool01","8 day(s);3 Cycle(s)","1.364","0.294","HW-Vcenter"
"HW-RDS-SH07_Restore_keep_off_","Virtual Server in Hunter_VM_Backups","VMware","PROD_11PM_SUNsynthFULL","HW_WH_8Day","Primary-SO","DiskLib_CVSDS-Pool01","8 day(s);3 Cycle(s)","0.723","0.156","Hunter_VM_Backups"
